Time,Unread/Actionable Inbox,GPNA Actions,REQS,Total Outstanding Actions,Inbox Total,GPNA Total,Todays Reqs,Total Today,Column1,Column2,Column3,Column4,Column5,Column6,,
9/4/2019 0:05,11,16,33,60,1797,1159,0,0,9/4/2019,2,2956,2956,2956,9/4/2019,,
9/4/2019 0:12,12,16,33,61,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 0:27,12,16,33,61,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 0:46,12,16,33,61,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 1:01,12,16,33,61,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 1:12,13,16,33,62,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 1:27,13,16,33,62,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 1:42,13,16,33,62,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 1:57,13,16,33,62,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 2:12,13,16,33,62,1797,1159,0,0,9/4/2019,1,2956,2956,,9/4/2019,,
9/4/2019 2:27,15,16,33,64,1798,1159,0,1,9/4/2019,1,2957,2956,,9/4/2019,,
9/4/2019 2:47,15,16,33,64,1798,1159,0,1,9/4/2019,1,2957,2956,,9/4/2019,,
9/4/2019 3:02,15,16,33,64,1798,1159,0,1,9/4/2019,1,2957,2956,,9/4/2019,,
9/4/2019 3:12,16,16,33,65,1799,1159,0,2,9/4/2019,1,2958,2956,,9/4/2019,,
9/4/2019 3:27,16,16,33,65,1799,1159,0,2,9/4/2019,1,2958,2956,,9/4/2019,,
9/4/2019 3:43,16,16,33,65,1799,1159,0,2,9/4/2019,1,2958,2956,,9/4/2019,,
9/4/2019 3:57,16,16,33,65,1799,1159,0,2,9/4/2019,1,2958,2956,,9/4/2019,,
9/4/2019 4:12,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 4:27,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 4:42,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 4:57,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 5:12,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 5:27,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 5:43,17,16,33,66,1800,1159,0,3,9/4/2019,1,2959,2956,,9/4/2019,,
9/4/2019 5:58,19,16,33,68,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 6:12,19,16,33,68,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 6:27,19,16,33,68,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 6:43,19,16,33,68,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 6:57,20,16,33,69,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 7:16,20,16,33,69,1802,1159,0,5,9/4/2019,1,2961,2956,,9/4/2019,,
9/4/2019 7:27,22,16,33,71,1804,1159,0,7,9/4/2019,1,2963,2956,,9/4/2019,,
9/4/2019 7:42,22,16,33,71,1804,1159,0,7,9/4/2019,1,2963,2956,,9/4/2019,,
9/4/2019 7:58,23,16,33,72,1805,1159,0,8,9/4/2019,1,2964,2956,,9/4/2019,,
9/4/2019 8:12,26,17,33,76,1811,1159,0,14,9/4/2019,1,2970,2956,,9/4/2019,,
9/4/2019 8:27,28,18,33,79,1812,1160,0,16,9/4/2019,1,2972,2956,,9/4/2019,,
9/4/2019 8:42,31,19,33,83,1815,1161,0,20,9/4/2019,1,2976,2956,,9/4/2019,,
9/4/2019 8:58,33,19,33,85,1815,1161,0,20,9/4/2019,1,2976,2956,,9/4/2019,,
9/4/2019 9:12,34,20,34,88,1816,1162,0,22,9/4/2019,1,2978,2956,,9/4/2019,,
9/4/2019 9:31,37,20,34,91,1818,1162,0,24,9/4/2019,1,2980,2956,,9/4/2019,,
9/4/2019 9:42,38,20,34,92,1819,1162,0,25,9/4/2019,1,2981,2956,,9/4/2019,,
9/4/2019 9:58,38,21,35,94,1819,1162,0,25,9/4/2019,1,2981,2956,,9/4/2019,,
9/4/2019 10:13,39,21,35,95,1819,1162,0,25,9/4/2019,1,2981,2956,,9/4/2019,,
9/4/2019 10:27,43,23,35,101,1822,1164,0,30,9/4/2019,1,2986,2956,,9/4/2019,,
9/4/2019 10:42,45,25,37,107,1822,1167,0,33,9/4/2019,1,2989,2956,,9/4/2019,,
9/4/2019 10:57,49,25,37,111,1824,1167,0,35,9/4/2019,1,2991,2956,,9/4/2019,,
9/4/2019 11:12,51,26,35,112,1825,1169,0,38,9/4/2019,1,2994,2956,,9/4/2019,,
9/4/2019 11:27,48,18,33,99,1827,1169,0,40,9/4/2019,1,2996,2956,,9/4/2019,,
9/4/2019 11:42,4,20,2,26,1830,1171,0,45,9/4/2019,1,3001,2956,,9/4/2019,,
9/4/2019 11:57,9,22,2,33,1834,1173,0,51,9/4/2019,1,3007,2956,,9/4/2019,,
9/4/2019 12:16,10,25,2,37,1841,1176,0,61,9/4/2019,1,3017,2956,,9/4/2019,,
9/4/2019 12:27,13,26,2,41,1843,1177,0,64,9/4/2019,1,3020,2956,,9/4/2019,,
9/4/2019 12:42,14,27,2,43,1846,1178,0,68,9/4/2019,1,3024,2956,,9/4/2019,,
9/4/2019 12:58,15,29,2,46,1848,1180,0,72,9/4/2019,1,3028,2956,,9/4/2019,,
9/4/2019 13:16,20,30,2,52,1848,1181,0,73,9/4/2019,1,3029,2956,,9/4/2019,,
9/4/2019 13:31,22,31,2,55,1849,1182,0,75,9/4/2019,1,3031,2956,,9/4/2019,,
9/4/2019 13:46,23,33,2,58,1850,1184,0,78,9/4/2019,1,3034,2956,,9/4/2019,,
9/4/2019 14:01,25,33,2,60,1850,1184,0,78,9/4/2019,1,3034,2956,,9/4/2019,,
9/4/2019 14:16,26,34,5,65,1853,1184,0,81,9/4/2019,1,3037,2956,,9/4/2019,,
9/4/2019 14:31,26,34,5,65,1854,1184,0,82,9/4/2019,1,3038,2956,,9/4/2019,,
9/4/2019 14:46,27,35,3,65,1854,1184,0,82,9/4/2019,1,3038,2956,,9/4/2019,,
9/4/2019 15:01,28,30,3,61,1856,1184,0,84,9/4/2019,1,3040,2956,,9/4/2019,,
9/4/2019 15:20,28,28,3,59,1857,1185,0,86,9/4/2019,1,3042,2956,,9/4/2019,,
9/4/2019 15:31,30,25,3,58,1858,1188,0,90,9/4/2019,1,3046,2956,,9/4/2019,,
9/4/2019 15:46,30,25,3,58,1858,1188,0,90,9/4/2019,1,3046,2956,,9/4/2019,,
9/4/2019 16:01,30,27,3,60,1858,1188,0,90,9/4/2019,1,3046,2956,,9/4/2019,,
9/4/2019 16:16,29,23,3,55,1860,1188,0,92,9/4/2019,1,3048,2956,,9/4/2019,,
