Row Labels,Outstanding,Inbox,GPNA,REQS ,Todays Total,,,,,,,,,,
12/1/2019 7:04,81,32,29,20,7,,,,,,,,,,
12/1/2019 7:17,81,32,29,20,7,,,,,,,,,,
12/1/2019 7:24,81,32,29,20,7,,,,,,,,,,
12/1/2019 7:37,81,32,29,20,7,,,,,,,,,,
12/1/2019 7:44,81,32,29,20,7,,,,,,,,,,
12/1/2019 7:57,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:04,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:17,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:24,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:37,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:44,81,32,29,20,7,,,,,,,,,,
12/1/2019 8:57,81,32,29,20,7,,,,,,,,,,
12/1/2019 9:04,82,33,29,20,7,,,,,,,,,,
12/1/2019 9:17,82,33,29,20,7,,,,,,,,,,
12/1/2019 9:24,82,33,29,20,7,,,,,,,,,,
12/1/2019 9:37,82,33,29,20,7,,,,,,,,,,
12/1/2019 9:44,82,33,29,20,7,,,,,,,,,,
12/1/2019 9:57,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:04,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:17,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:24,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:37,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:44,82,33,29,20,7,,,,,,,,,,
12/1/2019 10:57,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:04,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:18,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:24,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:37,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:44,82,33,29,20,7,,,,,,,,,,
12/1/2019 11:57,82,33,29,20,7,,,,,,,,,,
12/1/2019 12:04,82,33,29,20,7,,,,,,,,,,
12/1/2019 12:17,82,33,29,20,7,,,,,,,,,,
12/1/2019 12:24,82,33,29,20,7,,,,,,,,,,
