Row Labels,Outstanding,Inbox,GPNA,REQS ,Todays Total,,,,,,,,,,
1/19/2020 7:03,33,12,12,9,2,,,,,,,,,,
1/19/2020 7:22,33,12,12,9,2,,,,,,,,,,
1/19/2020 7:28,33,12,12,9,2,,,,,,,,,,
1/19/2020 7:33,33,12,12,9,2,,,,,,,,,,
1/19/2020 7:48,33,12,12,9,2,,,,,,,,,,
1/19/2020 7:54,33,12,12,9,2,,,,,,,,,,
1/19/2020 8:09,33,12,12,9,2,,,,,,,,,,
1/19/2020 8:16,33,12,12,9,2,,,,,,,,,,
1/19/2020 8:27,33,12,12,9,2,,,,,,,,,,
1/19/2020 8:33,33,12,12,9,2,,,,,,,,,,
1/19/2020 8:48,34,12,12,10,2,,,,,,,,,,
1/19/2020 8:53,34,12,12,10,2,,,,,,,,,,
1/19/2020 9:07,34,12,12,10,2,,,,,,,,,,
1/19/2020 9:13,34,12,12,10,2,,,,,,,,,,
1/19/2020 9:29,34,12,12,10,2,,,,,,,,,,
1/19/2020 9:34,34,12,12,10,2,,,,,,,,,,
1/19/2020 9:49,35,13,12,10,2,,,,,,,,,,
1/19/2020 9:54,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:08,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:18,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:27,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:33,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:47,35,13,12,10,2,,,,,,,,,,
1/19/2020 10:54,36,13,13,10,2,,,,,,,,,,
1/19/2020 12:00,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:08,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:15,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:29,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:34,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:54,38,14,14,10,2,,,,,,,,,,
1/19/2020 12:54,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:05,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:19,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:24,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:39,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:44,38,14,14,10,2,,,,,,,,,,
1/19/2020 13:59,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:04,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:20,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:23,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:39,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:43,38,14,14,10,2,,,,,,,,,,
1/19/2020 14:58,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:04,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:18,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:24,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:37,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:43,39,15,14,10,3,,,,,,,,,,
1/19/2020 15:57,39,15,14,10,3,,,,,,,,,,
1/19/2020 16:03,39,15,14,10,3,,,,,,,,,,
1/19/2020 16:17,40,16,14,10,4,,,,,,,,,,
1/19/2020 16:27,40,16,14,10,4,,,,,,,,,,
1/19/2020 16:38,40,16,14,10,4,,,,,,,,,,
1/19/2020 16:43,40,16,14,10,4,,,,,,,,,,
1/19/2020 16:57,40,16,14,10,4,,,,,,,,,,
1/19/2020 17:11,40,16,14,10,4,,,,,,,,,,
1/19/2020 17:17,40,16,14,10,4,,,,,,,,,,
1/19/2020 17:23,40,16,14,10,4,,,,,,,,,,
