Row Labels,Outstanding,Inbox,GPNA,REQS ,Todays Total,,,,,,,,,,
2/14/2020 7:04,20,9,4,7,4,,,,,,,,,,
2/14/2020 7:18,21,10,4,7,4,,,,,,,,,,
2/14/2020 7:24,22,11,4,7,4,,,,,,,,,,
2/14/2020 7:38,23,12,4,7,4,,,,,,,,,,
2/14/2020 7:45,23,12,4,7,5,,,,,,,,,,
2/14/2020 7:58,24,13,4,7,6,,,,,,,,,,
2/14/2020 8:04,25,14,4,7,7,,,,,,,,,,
2/14/2020 8:18,28,15,5,8,11,,,,,,,,,,
2/14/2020 8:24,34,20,6,8,16,,,,,,,,,,
2/14/2020 8:38,35,21,6,8,19,,,,,,,,,,
2/14/2020 8:45,36,22,6,8,19,,,,,,,,,,
2/14/2020 8:58,31,18,6,7,22,,,,,,,,,,
2/14/2020 9:04,20,7,6,7,33,,,,,,,,,,
2/14/2020 9:19,23,7,7,9,34,,,,,,,,,,
2/14/2020 9:24,17,0,8,9,38,,,,,,,,,,
2/14/2020 9:39,20,1,9,10,40,,,,,,,,,,
2/14/2020 9:44,20,0,10,10,44,,,,,,,,,,
2/14/2020 9:59,16,0,10,6,47,,,,,,,,,,
2/14/2020 10:04,13,3,4,6,53,,,,,,,,,,
2/14/2020 10:18,23,4,4,15,54,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
