Column1,Count
43712,2956
43713,3056
43714,3157
43715,3251
43716,3271
43717,3282
43718,3417
43719,3530
43720,3680
43721,3801
43724,3945
43725,4063
43726,4146
43727,4203
43728,4349
43729,4450
43730,4470
43731,4471
43732,4577
43733,4670
43734,4768
43735,4891
43736,5011
43738,5020
43739,5093
43740,5171
43741,5280
43742,5385
43743,5476
43744,5486
43745,5486
43746,5578
43747,5679
43748,5762
43749,5846
43750,5947
43752,5962
43753,6108
43754,6174
43755,6281
43756,6311
43757,6436
43758,6446
43759,6540
43760,6625
43761,6700
43762,6775
43763,6858
43764,6868
43765,6869
43766,6881
43767,6917
43768,7022
43769,7175
43770,7265
43771,7365
43773,7368
43774,7448
43775,7549
43776,7654
43777,7759
43778,7848
43780,7894
43781,8053
43782,8171
43783,8258
43784,8356
43785,8462
43786,8465
43787,8469
43788,8575
43789,8654
43790,8756
43791,8864
43792,8978
43793,8978
43794,8984
43795,9079
43796,9111
43797,9244
43798,9244
43799,9244
43800,9254
43801,9256
43802,9363
43803,9432
43804,9533
43805,9621
43806,9719
43807,9723
43808,9753
43809,9874
43810,9958
43811,10057
43812,10190
43813,10258
43814,10259
43815,10263
43816,10380
43817,10469
43818,10571
43819,10736
43820,10821
43821,10827
43822,10828
43823,10898
43824,10898
43825,10910
43826,10956
43827,11029
43829,11029
43830,11136
43831,11204
43832,11205
43833,11314
43834,11377
43835,11379
43836,11379
43837,11498
43838,11598
43839,11673
43840,11746
43841,11828
43842,11831
43843,11843
43844,11921
43845,12016
43846,12114
43847,12200
43848,12287
43849,12290
43850,12294
43851,12397
43852,12513
43853,12632
43854,12746
43855,12825
43856,12829
43857,12834
